TransactionID,TransactionAmount,CardHolder,CardNumber,TransactionDate,Merchant,IsFraud
1,187.8955193048339,David Grant,2709751496609122,2023-02-17 23:36:46.185551,Pham-Martinez,0
2,475.4064388985482,Katelyn Miller,2246814662738081,2023-04-15 14:23:31.019831,"Watkins, Robinson and Kaiser",0
3,366.2649769638911,Monica Dixon,2563952520623460,2023-12-03 15:12:36.978948,Campbell-Hernandez,0
4,299.7305836143213,Cory Walker,5188840641540713,2023-05-07 21:41:39.700818,Zimmerman PLC,0
5,78.85330158077582,Donald Mcdaniel,2266309513060863,2022-12-07 15:11:31.119570,Reid PLC,0
6,78.84126564776513,Duane Flores,2610118932876780,2023-09-01 01:25:25.884015,"Hernandez, Robinson and Knox",0
7,29.983722471931532,Timothy Valenzuela,2238796617358018,2023-08-19 18:27:35.823665,Browning Group,0
8,433.22189674169266,Richard Williams,2249842706082973,2023-08-26 00:29:49.898233,"Young, Adams and Cook",0
9,300.9563908598612,Alicia Taylor,2236682263951409,2023-11-13 07:36:29.605464,Campbell-Lewis,0
10,354.3282163202267,Jonathan Flores,5336664532006357,2023-06-10 14:05:17.251547,Davis LLC,0
11,11.271662653605421,Heather Taylor,2579114668577279,2023-04-09 06:05:02.964994,Walsh-Parker,0
12,484.98501622883515,Haley Brown MD,2585008465396416,2023-02-06 02:49:58.844359,Anthony Group,1
13,416.38887775941043,Brandy Russell,2720308230185698,2023-08-22 15:29:56.186395,"Rogers, Lane and Roberts",0
14,106.9572162284598,Jacqueline Medina,2291754493656124,2023-03-07 21:10:04.302614,Perez-Smith,0
15,91.73065863634321,Jamie Mendoza,5586648544461673,2023-11-14 17:24:17.923096,"Mendoza, Velazquez and Fletcher",0
16,92.51885041686347,Valerie Valencia,2705035082552480,2023-04-15 16:54:44.004718,"Huff, Hernandez and Keller",0
17,152.8168792368093,Peter Figueroa,5343598526952617,2023-01-01 05:47:00.039074,Perry-Gonzalez,0
18,262.85345938448665,Cathy Lawson,2363885985972653,2023-01-20 17:38:50.642680,"Daniels, Allen and Davis",0
19,216.54056430241576,Phyllis Boyd,2235553205098842,2023-05-06 02:49:03.260262,Austin-Wilson,0
20,146.3233409588229,Brian Peck,2296786090122667,2023-06-25 17:35:31.890926,"Alvarez, Rodriguez and Smith",0
21,306.3145944664674,Lauren Jones,2227535229928088,2023-04-17 11:17:06.335789,Miller-Fleming,0
22,70.60743646536888,William Townsend,2230188212318464,2023-06-07 13:39:17.292248,Anderson-Brown,0
23,146.78017961907386,Riley Heath,5431805949997209,2023-02-25 19:10:12.263347,Carter LLC,0
24,183.81455980355216,Autumn Martinez,2619656683493900,2023-10-13 19:42:40.699118,"Cain, Butler and Barnett",1
25,228.57892212430093,Sarah Davis,2227554364142991,2023-10-20 19:28:23.306175,Ferguson-Harvey,0
26,392.8028047351138,Todd Nolan,2343773578713061,2023-04-30 14:03:55.350984,Campbell-Cameron,0
27,100.63721729702151,Linda Hernandez,2707105721811817,2023-07-27 10:52:55.527984,Ponce-Decker,0
28,257.6029847683922,Trevor Franco,2283981864664029,2023-06-02 06:43:27.386252,Brewer-Frazier,0
29,296.6148698621592,Heather Russell,2416826549392324,2023-08-18 11:41:00.986942,"Taylor, Mccann and Robertson",0
30,24.178755947278866,Michele Smith,2255916879954993,2023-05-06 20:47:00.181412,Cox-Davis,0
31,304.1648810988177,Karen Romero,5351857971028540,2023-03-24 05:48:18.704427,Turner and Sons,0
32,86.09153771995847,Sean Rogers,2563121843217174,2023-02-23 18:06:55.026045,"Sims, Williams and Taylor",0
33,33.46074489965448,John Alvarez,2519894597840889,2023-10-06 19:26:34.984074,Oliver-Hoffman,0
34,474.4938830894133,Justin Robinson,5121546496388104,2023-03-06 05:46:13.237933,Roberts LLC,0
35,482.8503845042051,Jerry Martin,2720258035330884,2023-06-13 12:23:17.178640,King-Allen,0
36,404.3902767101141,Joshua Hampton,5150444999811190,2023-09-05 13:38:11.552700,Alexander PLC,0
37,153.00227081751197,Shawn Patel,5445017186226474,2023-06-01 04:30:49.567775,Brown Group,0
38,49.738384889185554,Amy Wilkins,5179897988173160,2023-09-17 04:36:30.355003,"Peterson, Brown and Sullivan",0
39,342.4322802295663,Steven Green,2233247961334507,2023-09-23 05:24:45.344428,"Cole, Johnson and Collins",0
40,220.63609437606104,Rickey Diaz,2720437970246574,2023-04-26 08:42:59.366518,Reed-Martin,0
41,61.897079187544634,Stacey Chang,5472797621874329,2022-12-13 00:24:51.433910,Raymond Inc,0
42,248.0932781455238,Courtney Miller,2707117522304850,2023-04-14 11:45:17.292304,Sexton LLC,0
43,18.15987203649398,Juan Estrada,2555638823733086,2023-05-12 18:11:32.283154,"Garcia, Curtis and Ramos",0
44,454.75088063731226,Tamara Stewart,5532245193072623,2023-11-16 15:53:34.239801,"Kelley, Powell and Gonzalez",0
45,130.13121081840845,Lisa Mclean,2701351749087198,2023-08-15 21:59:05.395792,"Benson, Burgess and Rodriguez",0
46,331.59861989263703,Brittany Jackson,2241012296297013,2022-12-10 08:44:22.542957,"Lawson, Davis and Chavez",0
47,156.54382696861606,Christine Leonard,5232946549863333,2023-09-21 19:43:50.404625,"Clark, Weaver and Abbott",0
48,260.5139425677276,Charles Ashley,5205809043134994,2023-01-28 01:30:45.335937,Jones Group,0
49,273.80842939229655,Deborah Daniels,2692488100065339,2023-06-18 02:11:21.551747,Mays-Williams,0
50,93.242373307238,Jesse Glass,2700518133524348,2023-02-13 09:03:48.096831,"Blackwell, Marks and Wallace",0
51,484.82272925451474,Michael Lopez,2715837091999802,2023-11-02 23:08:35.930509,Edwards-Acevedo,0
52,387.7912788571962,Dennis Jones,2498645542524019,2022-12-16 01:46:50.824219,"Brown, Rice and Peck",0
53,469.80997184053035,Timothy Williams,2717072643900755,2023-11-15 05:26:31.792259,"Johnston, Lopez and Woods",0
54,447.5188478633968,Patrick Jones,2304250016628679,2023-09-17 07:42:14.560243,Sullivan-Tran,0
55,299.3520894267315,Joshua Mills,2442459998870463,2023-02-03 20:32:17.641206,Larsen-Melendez,1
56,461.0152432765353,Connor Murphy,5373312810401593,2023-08-25 11:33:15.962437,"Cannon, Fox and Pineda",0
57,45.15775852390783,Rodney Becker,2630423176907481,2023-05-16 17:50:48.653168,Torres-Jenkins,0
58,98.79544834715345,Mrs. Kaitlyn Whitney,2701549219684812,2023-06-01 06:44:48.400776,Moreno LLC,0
59,23.568417166358493,Melissa Chavez,5203874447817265,2023-01-25 13:46:48.208443,Moore-Christian,0
60,163.3398350508689,Michael Davis,5358913849177887,2023-08-22 23:12:44.539586,Cobb LLC,0
61,194.94996755505153,Natasha Graham,2299641832376161,2023-08-12 11:13:05.085084,Evans Ltd,0
62,136.40316685517405,Benjamin Johnson,2720162673048925,2023-04-17 05:58:05.206913,"Scott, Miller and Mcdowell",1
63,414.54001706681277,Cynthia Anderson,5122921501720568,2023-02-18 18:39:34.266007,Hunter and Sons,0
64,179.01991002010104,Ryan Marshall,2227020643284590,2023-06-24 18:35:04.671991,"Reynolds, Russell and Lewis",0
65,141.186320334003,Beth Lewis,2720446309949022,2023-11-04 14:26:22.653994,Graham PLC,0
66,271.805345495966,Samuel Diaz,2475454503390545,2023-06-08 19:47:28.717477,"Wong, Stokes and Taylor",0
67,71.32118826240657,Donna Finley,2273339898421340,2023-06-21 05:40:37.522985,"Conner, Walter and Hinton",0
68,401.2962933962658,Amber Adkins,5179853547560140,2023-02-18 19:06:39.267897,"Moore, Phillips and Owens",0
69,38.20077119620564,Stacey White,5359534562562466,2023-07-25 08:34:41.794630,Rojas-Lopez,0
70,493.45658136365813,Erica Walker,2369254410574606,2023-03-15 14:01:20.653275,Perez Inc,0
71,386.35013987903204,Hannah Young,2295048880455422,2023-06-27 11:37:27.682461,Mckinney-Leach,0
72,100.15912508555203,Rebecca Cannon,2325132657576653,2023-11-18 20:28:19.111341,Lopez-Holt,0
